N,operation_mode,method,objective_mean,objective_std,runtime_mean,runtime_std,internal_gap_mean,internal_gap_std,lp_lower_bound_mean,lp_lower_bound_std,n_columns_generated_mean,n_columns_generated_std,sp_share_mean,sp_share_std,bs_share_mean,bs_share_std,ae_share_mean,ae_share_std,sp_utilization_mean,sp_utilization_std,avg_stay_time_mean,avg_stay_time_std,masking_rate_mean,masking_rate_std,delay_cost_mean,delay_cost_std,energy_cost_mean,energy_cost_std,success_rate
25,sequential,cg,43206.299139111194,1438.5252148890975,1.3033868100028485,0.1545726968941794,0.01108745621365889,0.033262368640976675,43201.63423981778,1442.1104877734713,,,0.2840000000000001,0.028000000000000004,0.716,0.02799999999999998,0.0,0.0,1.0,0.0,15.981906570216077,0.9602066917241981,0.0,0.0,1145.0,936.9364973145192,42061.299139111194,1660.7152534830107,1.0
25,simops,cg,34424.43183236072,1209.5857668642072,2.9297894299961627,0.7283089252174416,0.015775738839424396,0.017392006749993118,34419.02445934995,1210.099952384396,,,0.4680000000000001,0.03124099870362661,0.532,0.031240998703626618,0.0,0.0,1.0,0.0,14.803217112092725,0.9906573330150038,0.7961064407237479,0.05021872418454133,0.0,0.0,34424.43183236072,1209.5857668642072,1.0
50,sequential,cg,90235.63188820325,1853.4728657019862,2.7192255099944305,0.32423354657290826,7.629179071362126e-09,1.3082575538190766e-08,90235.63188126616,1853.4728629984913,,,0.194,0.015620499351813312,0.806,0.015620499351813274,0.0,0.0,1.0,0.0,16.651962788496924,0.49872895015066865,0.0,0.0,1017.5,422.7957544725349,89218.13188820325,1964.803323913412,1.0
50,simops,cg,82695.01146921565,2369.3294597450436,8.376429869997082,2.2723636767208095,0.008374181834230304,0.008860875690188131,82688.16824099333,2371.980517250439,,,0.246,0.020099751242241785,0.754,0.0200997512422418,0.0,0.0,1.0,0.0,15.058558709969436,0.45154509082698924,0.8161840478385782,0.05118498102462145,0.0,0.0,82695.01146921565,2369.3294597450436,1.0
75,sequential,cg,148636.094661643,5589.3472583350895,12.622214880003593,3.8321654167116597,9.158038870829137e-10,2.747399097391935e-09,148636.0946602538,5589.3472575753085,16074.0,1389.9033059893052,0.13733333333333334,0.0085374989832438,0.784,0.041654664938168856,0.07866666666666666,0.04318435930853772,0.6319414476063967,0.024316816265009724,16.01630859392582,0.9209523537393212,0.0,0.0,1952.5,803.6984820192209,146683.594661643,5250.9979553135245,1.0
75,simops,cg,131770.38553129186,3336.9760349078388,32.3457048399956,9.911339007761486,0.005264196349911997,0.002874811983040254,131763.45756703377,3337.179187760577,27609.1,1366.292680943582,0.16666666666666669,0.00894427190999916,0.8333333333333333,0.008944271909999166,0.0,0.0,0.9653242743638467,0.01944130097165326,15.177140500038636,0.46826709374776776,0.6960677773530219,0.04440628830425591,0.0,0.0,131770.38553129186,3336.9760349078388,1.0
100,sequential,cg,228619.3688389887,10518.332628095033,6.072467889997642,0.7770004976192916,0.00019660966373714257,0.0005898289912071524,228618.9469365428,10518.895299650027,,,0.11600000000000002,0.012000000000000002,0.6479999999999999,0.02712931993250108,0.236,0.03773592452822641,1.0,0.0,13.51175834673646,0.7804338332277831,0.0,0.0,2480.0,829.8192574289898,226139.3688389887,10474.401452101563,1.0
100,simops,cg,183338.22621597565,4235.484072274012,36.424659059994156,22.378334187561464,0.002061821713624647,0.0028744332618678477,183334.37678105308,4232.298824407346,,,0.149,0.014456832294800962,0.851,0.014456832294800971,0.0,0.0,1.0,0.0,15.975603808558386,0.2980498330335152,0.48586177865326297,0.04298876384075515,40.0,120.0,183298.22621597565,4239.05103690677,1.0
125,sequential,cg,316168.84846724395,7879.039864797228,24.92490342000965,5.799936963209137,2.9137660209940732e-05,8.741298062375354e-05,316168.75250429014,7878.87939726299,1645.6,122.28998323656766,0.0944,0.0032000000000000028,0.5408,0.020922714928995223,0.36479999999999996,0.021821090715177374,0.6854777772071067,0.03623906988018214,11.277272695032632,0.49775846789903555,0.0,0.0,2952.5,751.3695828285838,313216.34846724395,7824.0064960943255,1.0
125,simops,cg,265432.75190618297,5834.431476770911,164.54437605001732,35.66188617390549,0.012816460370784455,0.013106180062104207,265398.51570240187,5823.481719543904,11169.5,505.98562232537796,0.13440000000000002,0.0032000000000000028,0.7111999999999999,0.01577846633865283,0.1544,0.015615377036754505,0.9374355818763245,0.018895829371463318,15.730212075948367,0.3565956005538344,0.37112513544275233,0.022684932739168346,1980.0,986.1414705811737,263452.75190618297,5982.73601156381,1.0
150,sequential,cg,403512.71489353833,9220.484686736727,37.13499997002073,9.469421244959362,0.0038491158975356337,0.011547347692606898,403497.2362873042,9222.655883700805,1863.9,147.76295205497215,0.08133333333333333,0.002666666666666667,0.46266666666666667,0.019595917942265426,0.45599999999999996,0.02004439517116388,0.7030223465338578,0.02159879362659969,9.801858763527214,0.4344294352768432,0.0,0.0,2355.0,1058.4068215955526,401157.71489353833,8551.831177946273,1.0
150,simops,cg,351813.0517063052,8128.5687654876065,234.93619734001112,44.51062440249232,0.005669837087099989,0.0037764663018433936,351792.9935942994,8123.353910965577,13151.6,565.8811182571831,0.11199999999999999,0.0026666666666666614,0.602,0.012310790208412916,0.28600000000000003,0.013148721948877343,0.9570502343057813,0.011756516175194152,15.497314125322044,0.34795543035659054,0.303359384894602,0.020960264637365122,1122.5,579.4879204953284,350690.5517063052,7791.690018680635,1.0
200,sequential,cg,587846.6406982545,7877.1213340497015,8.781230729992966,2.5043731688295794,0.00020910956174662,0.00062732868523986,587845.4198007137,7877.738877483065,,,0.06100000000000001,0.0020000000000000018,0.358,0.007141428428542856,0.5810000000000001,0.008000000000000007,1.0,0.0,7.615722403452954,0.23272055044919177,0.0,0.0,1980.0,787.7023549539508,585866.6406982545,7841.183579308168,1.0
200,simops,cg,535891.9682508595,7703.350077757814,102.79740873999545,20.06807862120868,0.001161908355997237,0.0012937137137000122,535885.6896082716,7699.554577946483,,,0.08399999999999999,0.0029999999999999996,0.45949999999999996,0.006103277807866857,0.4565,0.007088723439378908,1.0,0.0,15.007833783304623,0.3533915714232462,0.26782109084121075,0.016039822359104734,1642.5,799.2222782180187,534249.4682508595,7999.886590645141,1.0
500,sequential,cg,1760133.7038886019,15888.909891408379,17.36645595000591,3.7816337251794856,5.26122440052558e-15,6.443821671910237e-15,1760133.7038886019,15888.90989140826,,,0.026600000000000002,0.0012806248474865702,0.1558,0.0031559467676119026,0.8175999999999999,0.003979949748426483,1.0,0.0,3.449869016111932,0.10144447607397926,0.0,0.0,3772.5,1238.4188507932201,1756361.2038886019,16796.61932399668,1.0
500,simops,cg,1690831.876915054,13429.766685525852,238.07589717999798,10.500062887691778,0.00022499874184409003,0.0001170409300433604,1690828.063185,13428.559360637402,,,0.030400000000000003,0.001496662954709577,0.192,0.0028284271247461927,0.7776000000000001,0.003979949748426483,1.0,0.0,14.548726936504005,0.21321527398716833,0.10819660688655838,0.006263836587870599,3180.0,1324.3300192927743,1687651.876915054,13476.0185256887,1.0
